,0
743,OMOP_42899314
744,OMOP_42898434
745,OMOP_42899381
746,OMOP_42900418
747,OMOP_42899828
748,OMOP_42898352
749,OMOP_42898355
750,OMOP_42898715
751,OMOP_42899635
752,OMOP_42899347
753,OMOP_42900084
754,OMOP_42898577
755,OMOP_42898772
756,OMOP_42899891
757,OMOP_42899521
758,OMOP_42899834
759,OMOP_42900082
760,OMOP_42898762
761,OMOP_42900059
762,OMOP_42898729
763,OMOP_42900060
764,OMOP_42899618
765,OMOP_42899436
766,OMOP_42898632
767,OMOP_42899889
768,OMOP_42898660
769,OMOP_42898910
770,OMOP_42898934
771,OMOP_42898771
772,OMOP_42898935
773,OMOP_42898622
774,OMOP_42898943
775,OMOP_42899727
776,OMOP_42898969
777,OMOP_42899200
778,OMOP_42898965
779,OMOP_42898307
780,OMOP_42898977
781,OMOP_42899160
782,OMOP_42898738
783,OMOP_42900215
784,OMOP_42899833
785,OMOP_42899399
786,OMOP_42898308
787,OMOP_42899401
788,OMOP_42899402
789,OMOP_42898874
790,OMOP_42899346
791,OMOP_42900081
792,OMOP_42899263
793,OMOP_42899985
794,OMOP_42898661
795,OMOP_42899966
796,OMOP_42898745
797,OMOP_42898483
798,OMOP_42898858
799,OMOP_42900096
800,OMOP_42900015
801,OMOP_42899397
802,OMOP_42899652
803,OMOP_42898327
804,OMOP_42899992
805,OMOP_42899642
806,OMOP_42899522
807,OMOP_42900077
808,OMOP_42900049
809,OMOP_42898907
810,OMOP_42898750
811,OMOP_42899493
812,OMOP_42900089
813,OMOP_42899005
814,OMOP_42898357
815,OMOP_42899687
816,OMOP_42898360
817,OMOP_42899838
818,OMOP_42900209
819,OMOP_42898259
820,OMOP_42899965
821,OMOP_42899996
822,OMOP_42898781
823,OMOP_42898393
824,OMOP_42899084
825,OMOP_42898730
826,OMOP_42898741
827,OMOP_42899178
828,OMOP_42899577
829,OMOP_42899840
830,OMOP_42900422
831,OMOP_42899755
832,OMOP_42899844
833,OMOP_42900197
834,OMOP_42900228
